Date (Weeks Starting 1st day of Year),Merchant,MV - Accepted (MCCY)
4/23/17,BARNEYS NEW YORK,13890
4/23/17,NORDSTROM,108329
4/23/17,SAKS.COM,87891
4/24/17,BARNEYS NEW YORK,25578
4/24/17,NORDSTROM,118381
4/24/17,SAKS.COM,72409
4/25/17,BARNEYS NEW YORK,19594
4/25/17,NORDSTROM,121402
4/25/17,SAKS.COM,59832
4/26/17,BARNEYS NEW YORK,17723
4/26/17,NORDSTROM,100306
4/26/17,SAKS.COM,62582
4/27/17,BARNEYS NEW YORK,19083
4/27/17,NORDSTROM,99104
4/27/17,SAKS.COM,48935
4/28/17,BARNEYS NEW YORK,23457
4/28/17,NORDSTROM,99396
4/28/17,SAKS.COM,72695
4/29/17,BARNEYS NEW YORK,28722
4/29/17,NORDSTROM,111070
4/29/17,SAKS.COM,79725
4/30/17,BARNEYS NEW YORK,24050
4/30/17,NORDSTROM,110221
4/30/17,SAKS.COM,52426
5/1/17,BARNEYS NEW YORK,22793
5/1/17,NORDSTROM,109480
5/1/17,SAKS.COM,95556
5/2/17,BARNEYS NEW YORK,32269
5/2/17,NORDSTROM,113784
5/2/17,SAKS.COM,111123
5/3/17,BARNEYS NEW YORK,46595
5/3/17,NORDSTROM,113507
5/3/17,SAKS.COM,114588
5/4/17,BARNEYS NEW YORK,27307
5/4/17,NORDSTROM,106764
5/4/17,SAKS.COM,77617
5/5/17,BARNEYS NEW YORK,42935
5/5/17,NORDSTROM,92963
5/5/17,SAKS.COM,93623
5/6/17,BARNEYS NEW YORK,30379
5/6/17,NORDSTROM,98985
5/6/17,SAKS.COM,101699
5/7/17,BARNEYS NEW YORK,20022
5/7/17,NORDSTROM,122503
5/7/17,SAKS.COM,101196
5/8/17,BARNEYS NEW YORK,22360
5/8/17,NORDSTROM,108172
5/8/17,SAKS.COM,83415
5/9/17,BARNEYS NEW YORK,29296
5/9/17,NORDSTROM,100611
5/9/17,SAKS.COM,63291
5/10/17,BARNEYS NEW YORK,20331
5/10/17,NORDSTROM,87842
5/10/17,SAKS.COM,60040
5/11/17,BARNEYS NEW YORK,27354
5/11/17,NORDSTROM,102466
5/11/17,SAKS.COM,66332
5/12/17,BARNEYS NEW YORK,35053
5/12/17,NORDSTROM,95646
5/12/17,SAKS.COM,76068
5/13/17,BARNEYS NEW YORK,24811
5/13/17,NORDSTROM,97266
5/13/17,SAKS.COM,60941
5/14/17,BARNEYS NEW YORK,27531
5/14/17,NORDSTROM,126037
5/14/17,SAKS.COM,55840
5/15/17,BARNEYS NEW YORK,17285
5/15/17,NORDSTROM,97300
5/15/17,SAKS.COM,73867
5/16/17,BARNEYS NEW YORK,49583
5/16/17,NORDSTROM,122952
5/16/17,SAKS.COM,54579
5/17/17,BARNEYS NEW YORK,28903
5/17/17,NORDSTROM,102594
5/17/17,SAKS.COM,66306
5/18/17,BARNEYS NEW YORK,32978
5/18/17,NORDSTROM,108949
5/18/17,SAKS.COM,75665
5/19/17,BARNEYS NEW YORK,21067
5/19/17,NORDSTROM,96734
5/19/17,SAKS.COM,67376
5/20/17,BARNEYS NEW YORK,25513
5/20/17,NORDSTROM,94476
5/20/17,SAKS.COM,78131
5/21/17,BARNEYS NEW YORK,15038
5/21/17,NORDSTROM,92872
5/21/17,SAKS.COM,92816
5/22/17,BARNEYS NEW YORK,18658
5/22/17,NORDSTROM,107854
5/22/17,SAKS.COM,108299
5/23/17,BARNEYS NEW YORK,43083
5/23/17,NORDSTROM,111086
5/23/17,SAKS.COM,157422
5/24/17,BARNEYS NEW YORK,51637
5/24/17,NORDSTROM,156253
5/24/17,SAKS.COM,126159
5/25/17,BARNEYS NEW YORK,30362
5/25/17,NORDSTROM,154776
5/25/17,SAKS.COM,117574
5/26/17,BARNEYS NEW YORK,33896
5/26/17,NORDSTROM,131148
5/26/17,SAKS.COM,111703
5/27/17,BARNEYS NEW YORK,41784
5/27/17,NORDSTROM,123347
5/27/17,SAKS.COM,84683
5/28/17,BARNEYS NEW YORK,30330
5/28/17,NORDSTROM,130145
5/28/17,SAKS.COM,91979
5/29/17,BARNEYS NEW YORK,46379
5/29/17,NORDSTROM,116185
5/29/17,SAKS.COM,99324
5/30/17,BARNEYS NEW YORK,37000
5/30/17,NORDSTROM,114798
5/30/17,SAKS.COM,84366
5/31/17,BARNEYS NEW YORK,17219
5/31/17,NORDSTROM,121274
5/31/17,SAKS.COM,75934
6/1/17,BARNEYS NEW YORK,23933
6/1/17,NORDSTROM,127776
6/1/17,SAKS.COM,93553
6/2/17,BARNEYS NEW YORK,19205
6/2/17,NORDSTROM,114417
6/2/17,SAKS.COM,94348
6/3/17,BARNEYS NEW YORK,18635
6/3/17,NORDSTROM,111611
6/3/17,SAKS.COM,108499
6/4/17,BARNEYS NEW YORK,30182
6/4/17,NORDSTROM,109847
6/4/17,SAKS.COM,94182
6/5/17,BARNEYS NEW YORK,27947
6/5/17,NORDSTROM,121609
6/5/17,SAKS.COM,78501
6/6/17,BARNEYS NEW YORK,40413
6/6/17,NORDSTROM,109282
6/6/17,SAKS.COM,82267
6/7/17,BARNEYS NEW YORK,16546
6/7/17,NORDSTROM,117095
6/7/17,SAKS.COM,110447
6/8/17,BARNEYS NEW YORK,52638
6/8/17,NORDSTROM,115131
6/8/17,SAKS.COM,90262
6/9/17,BARNEYS NEW YORK,62310
6/9/17,NORDSTROM,122273
6/9/17,SAKS.COM,93108
6/10/17,BARNEYS NEW YORK,32797
6/10/17,NORDSTROM,111788
6/10/17,SAKS.COM,69621
6/11/17,BARNEYS NEW YORK,28255
6/11/17,NORDSTROM,117593
6/11/17,SAKS.COM,265259
6/12/17,BARNEYS NEW YORK,35567
6/12/17,NORDSTROM,115845
6/12/17,SAKS.COM,187131
6/13/17,BARNEYS NEW YORK,29661
6/13/17,NORDSTROM,111968
6/13/17,SAKS.COM,176589
6/14/17,BARNEYS NEW YORK,29243
6/14/17,NORDSTROM,105668
6/14/17,SAKS.COM,150720
6/15/17,BARNEYS NEW YORK,21000
6/15/17,NORDSTROM,107481
6/15/17,SAKS.COM,134093
6/16/17,BARNEYS NEW YORK,41540
6/16/17,NORDSTROM,109408
6/16/17,SAKS.COM,128624
6/17/17,BARNEYS NEW YORK,16543
6/17/17,NORDSTROM,103103
6/17/17,SAKS.COM,93774
6/18/17,BARNEYS NEW YORK,20828
6/18/17,NORDSTROM,98168
6/18/17,SAKS.COM,92375
6/19/17,BARNEYS NEW YORK,21306
6/19/17,NORDSTROM,99365
6/19/17,SAKS.COM,88805
6/20/17,BARNEYS NEW YORK,17539
6/20/17,NORDSTROM,89747
6/20/17,SAKS.COM,75863
6/21/17,BARNEYS NEW YORK,38852
6/21/17,NORDSTROM,83568
6/21/17,SAKS.COM,94703
6/22/17,BARNEYS NEW YORK,17201
6/22/17,NORDSTROM,86245
6/22/17,SAKS.COM,103779
6/23/17,BARNEYS NEW YORK,21642
6/23/17,NORDSTROM,81742
6/23/17,SAKS.COM,109602
6/24/17,BARNEYS NEW YORK,20055
6/24/17,NORDSTROM,75681
6/24/17,SAKS.COM,74924
6/25/17,BARNEYS NEW YORK,29967
6/25/17,NORDSTROM,86752
6/25/17,SAKS.COM,69507
6/26/17,BARNEYS NEW YORK,25346
6/26/17,NORDSTROM,85886
6/26/17,SAKS.COM,80437
6/27/17,BARNEYS NEW YORK,17531
6/27/17,NORDSTROM,92376
6/27/17,SAKS.COM,76046
6/28/17,BARNEYS NEW YORK,46216
6/28/17,NORDSTROM,86997
6/28/17,SAKS.COM,216906
6/29/17,BARNEYS NEW YORK,57288
6/29/17,NORDSTROM,79541
6/29/17,SAKS.COM,157426
6/30/17,BARNEYS NEW YORK,31848
6/30/17,NORDSTROM,88093
6/30/17,SAKS.COM,94462
7/1/17,BARNEYS NEW YORK,31895
7/1/17,NORDSTROM,84808
7/1/17,SAKS.COM,118787
7/2/17,BARNEYS NEW YORK,41509
7/2/17,NORDSTROM,75661
7/2/17,SAKS.COM,84687
7/3/17,BARNEYS NEW YORK,24281
7/3/17,NORDSTROM,88376
7/3/17,SAKS.COM,105023
7/4/17,BARNEYS NEW YORK,22617
7/4/17,NORDSTROM,74972
7/4/17,SAKS.COM,132554
7/5/17,BARNEYS NEW YORK,17396
7/5/17,NORDSTROM,92504
7/5/17,SAKS.COM,110934
7/6/17,BARNEYS NEW YORK,14686
7/6/17,NORDSTROM,88409
7/6/17,SAKS.COM,95438
7/7/17,BARNEYS NEW YORK,15388
7/7/17,NORDSTROM,68477
7/7/17,SAKS.COM,104078
7/8/17,BARNEYS NEW YORK,34363
7/8/17,NORDSTROM,88325
7/8/17,SAKS.COM,94037
7/9/17,BARNEYS NEW YORK,24601
7/9/17,NORDSTROM,77457
7/9/17,SAKS.COM,96387
7/10/17,BARNEYS NEW YORK,27849
7/10/17,NORDSTROM,87779
7/10/17,SAKS.COM,142265
7/11/17,BARNEYS NEW YORK,20148
7/11/17,NORDSTROM,85282
7/11/17,SAKS.COM,106662
7/12/17,BARNEYS NEW YORK,27028
7/12/17,NORDSTROM,69857
7/12/17,SAKS.COM,116557
7/13/17,BARNEYS NEW YORK,19340
7/13/17,NORDSTROM,63991
7/13/17,SAKS.COM,101965
7/14/17,BARNEYS NEW YORK,24444
7/14/17,NORDSTROM,81051
7/14/17,SAKS.COM,90650
7/15/17,BARNEYS NEW YORK,19500
7/15/17,NORDSTROM,74014
7/15/17,SAKS.COM,56049
7/16/17,BARNEYS NEW YORK,18847
7/16/17,NORDSTROM,81701
7/16/17,SAKS.COM,74325
7/17/17,BARNEYS NEW YORK,20495
7/17/17,NORDSTROM,78045
7/17/17,SAKS.COM,74296
7/18/17,BARNEYS NEW YORK,22954
7/18/17,NORDSTROM,76892
7/18/17,SAKS.COM,52290
7/19/17,BARNEYS NEW YORK,22138
7/19/17,NORDSTROM,82598
7/19/17,SAKS.COM,90293
7/20/17,BARNEYS NEW YORK,36977
7/20/17,NORDSTROM,79902
7/20/17,SAKS.COM,88162
7/21/17,BARNEYS NEW YORK,27519
7/21/17,NORDSTROM,310247
7/21/17,SAKS.COM,75642
7/22/17,BARNEYS NEW YORK,18669
7/22/17,NORDSTROM,203647
7/22/17,SAKS.COM,67144
7/23/17,BARNEYS NEW YORK,42415
7/23/17,NORDSTROM,184398
7/23/17,SAKS.COM,58745
7/24/17,BARNEYS NEW YORK,26707
7/24/17,NORDSTROM,164565
7/24/17,SAKS.COM,75852
7/25/17,BARNEYS NEW YORK,25920
7/25/17,NORDSTROM,160734
7/25/17,SAKS.COM,87482
7/26/17,BARNEYS NEW YORK,27550
7/26/17,NORDSTROM,135353
7/26/17,SAKS.COM,77326
7/27/17,BARNEYS NEW YORK,24239
